file	id	severity	route	family	reason	records	degraded	detail
2-4-1.md	2.4.1	typed	typed	prose	typed	96-97		
2-4-2.md	2.4.2	typed	typed	prose	typed	97-98		
2-4-2-1.md	2.4.2.1	typed	typed	prose	typed	98-99		
2-4-2-2.md	2.4.2.2	typed	typed	prose	typed	99-100		
2-4-3.md	2.4.3	typed	typed	prose	typed	100-101		
2-4-3-1.md	2.4.3.1	typed	typed	prose	typed	101-104		
2-4-3-2.md	2.4.3.2	typed	typed	prose	typed	104-106		
2-4-3-3.md	2.4.3.3	typed	typed	prose	typed	106-110		
2-4-4.md	2.4.4	typed	typed	prose	typed	110-111		
2-4-4-1.md	2.4.4.1	typed	typed	prose	typed	111-113		
2-4-4-2.md	2.4.4.2	typed	typed	prose	typed	113-114		
2-5.md	2.5	typed	typed	prose	typed	114-116		
3-0.md	3.0	typed	typed	prose	typed	116-117		
3-1.md	3.1	typed	typed	prose	typed	117-118		
3-1-1.md	3.1.1	typed	typed	prose	typed	118-119		
3-1-2.md	3.1.2	typed	typed	prose	typed	119-121		
3-1-3.md	3.1.3	typed	typed	prose	typed	121-123		
3-1-4.md	3.1.4	typed	typed	prose	typed	123-124		
3-1-5.md	3.1.5	typed	typed	prose	typed	124-125		
3-2.md	3.2	typed	typed	prose	typed	125-126		
3-3.md	3.3	typed	typed	prose	typed	126-127		
3-4.md	3.4	typed	typed	prose	typed	127-129		
4-0.md	4.0	typed	typed	prose	typed	129-130		
4-1.md	4.1	typed	typed	prose	typed	130-131		
4-1-1.md	4.1.1	typed	typed	prose	typed	131-132		
4-1-2.md	4.1.2	typed	typed	fixed prose	typed	132-133		
4-2.md	4.2	typed	typed	prose	typed	133-144		
4-3.md	4.3	typed	typed	prose	typed	144-146		
4-3-1.md	4.3.1	typed	typed	prose	typed	146-147		
4-3-2.md	4.3.2	typed	typed	prose	typed	147-148		
4-3-3.md	4.3.3	typed	typed	prose	typed	148-150		
4-3-3-1.md	4.3.3.1	typed	typed	prose	typed	150-151		
4-3-3-2.md	4.3.3.2	typed	typed	prose	typed	151-152		
4-3-3-3.md	4.3.3.3	typed	typed	prose	typed	152-153		
4-3-4.md	4.3.4	typed	typed	prose	typed	153-154		
4-3-5.md	4.3.5	typed	typed	prose	typed	154-155		
4-3-5-1.md	4.3.5.1	typed	typed	prose	typed	155-156		
4-3-5-2.md	4.3.5.2	typed	typed	prose	typed	156-157		
4-3-5-3.md	4.3.5.3	typed	typed	prose	typed	157-158		
4-3-5-4.md	4.3.5.4	typed	typed	prose	typed	158-161		
5-0.md	5.0	typed	typed	prose	typed	161-164		
5-1.md	5.1	typed	typed	prose	typed	164-166		
5-1-1.md	5.1.1	typed	typed	prose	typed	166-167		
5-1-2.md	5.1.2	typed	typed	prose	typed	167-168		
5-2.md	5.2	typed	typed	prose	typed	168-170		
5-2-1.md	5.2.1	typed	typed	prose	typed	170-171		
5-2-2.md	5.2.2	typed	typed	prose	typed	171-172		
5-2-3.md	5.2.3	typed	typed	prose	typed	172-174		
5-2-4.md	5.2.4	typed	typed	prose	typed	174-177		
5-2-5.md	5.2.5	typed	typed	prose	typed	177-178		
5-3.md	5.3	typed	typed	prose	typed	178-179		
5-3-1.md	5.3.1	typed	typed	prose	typed	179-183		
5-3-1-1.md	5.3.1.1	typed	typed	prose	typed	183-185		
5-3-1-2.md	5.3.1.2	typed	typed	prose	typed	185-187		
5-3-2.md	5.3.2	typed	typed	prose	typed	187-191		
5-3-2-1.md	5.3.2.1	typed	typed	prose	typed	191-192		
5-3-2-2.md	5.3.2.2	typed	typed	prose	typed	192-193		
5-3-3.md	5.3.3	typed	typed	prose	typed	193-197		
5-4.md	5.4	typed	typed	prose	typed	197-198		
6-0.md	6.0	typed	typed	prose	typed	198-201		
6-1.md	6.1	typed	typed	prose	typed	201-203		
6-2.md	6.2	typed	typed	prose	typed	203-205		
6-2-1.md	6.2.1	typed	typed	prose	typed	205-206		
6-2-2.md	6.2.2	typed	typed	prose	typed	206-208		
6-3.md	6.3	typed	typed	prose	typed	208-211		
6-3-1.md	6.3.1	typed	typed	prose	typed	211-212		
6-3-1-1.md	6.3.1.1	typed	typed	prose	typed	212-213		
6-3-1-2.md	6.3.1.2	typed	typed	prose	typed	213-215		
6-3-2.md	6.3.2	typed	typed	prose	typed	215-216		
6-3-2-1.md	6.3.2.1	typed	typed	prose	typed	216-219		
6-3-2-2.md	6.3.2.2	typed	typed	prose	typed	219-220		
6-3-2-3.md	6.3.2.3	typed	typed	prose	typed	220-221		
6-3-3.md	6.3.3	typed	typed	prose	typed	221-222		
6-3-3-1.md	6.3.3.1	typed	typed	prose	typed	222-224		
6-3-3-2.md	6.3.3.2	typed	typed	prose	typed	224-227		
6-3-4.md	6.3.4	typed	typed	prose	typed	227-228		
6-3-5.md	6.3.5	typed	typed	prose	typed	228-230		
6-3-6.md	6.3.6	typed	typed	prose	typed	230-233		
6-3-7.md	6.3.7	typed	typed	prose	typed	233-235		
6-3-8.md	6.3.8	typed	typed	prose	typed	235-236		
7-0.md	7.0	typed	typed	prose	typed	236-238		
7-1.md	7.1	typed	typed	prose	typed	238-239		
7-2.md	7.2	typed	typed	prose	typed	239-240		
7-3.md	7.3	typed	typed	prose	typed	240-243		
7-3-1.md	7.3.1	typed	typed	prose	typed	243-245		
7-3-2.md	7.3.2	typed	typed	prose	typed	245-246		
7-3-3.md	7.3.3	typed	typed	prose	typed	246-250		
7-3-4.md	7.3.4	typed	typed	prose	typed	250-252		
7-4.md	7.4	typed	typed	prose	typed	252-253		
7-5.md	7.5	typed	typed	prose	typed	253-257		
7-5-1.md	7.5.1	typed	typed	prose	typed	257-260		
7-5-2.md	7.5.2	typed	typed	prose	typed	260-262		
7-5-2-1.md	7.5.2.1	typed	typed	prose	typed	262-265		
7-5-2-2.md	7.5.2.2	typed	typed	prose	typed	265-267		
