file	id	severity	route	family	reason	records	degraded	detail
4-3-2.md	4.3.2	typed	typed	prose	typed	184-185		
5-0.md	5.0	typed	typed	prose	typed	185-190		
5-1.md	5.1	best-effort	best-effort		typed-lowering-declined	190-193		prose topic rejected: figure region declined: figure region contains prose row 'Click on'
5-2.md	5.2	typed	typed	prose	typed	193-194		
5-2-1.md	5.2.1	typed	typed	prose	typed	194-202		
5-2-2.md	5.2.2	typed	typed	prose	typed	202-208		
5-2-3.md	5.2.3	typed	typed	prose	typed	208-213		
5-3.md	5.3	typed	typed	prose	typed	213-215		
5-3-1.md	5.3.1	typed	typed	prose	typed	215-222		
5-3-2.md	5.3.2	typed	typed	prose	typed	222-229		
5-3-3.md	5.3.3	best-effort	best-effort		typed-lowering-declined	229-235		prose topic rejected: row columns are unproven: span [45,71) both splits a word and crosses a blank column on '       TCP/IP Listener Definition as shown inFigure 90 in topic 4.2.2.4.'
6-0.md	6.0	typed	typed	prose	typed	235-236		
6-1.md	6.1	typed	typed	prose	typed	236-239		
6-2.md	6.2	typed	typed	prose	typed	239-241		
6-2-1.md	6.2.1	typed	typed	prose	typed	241-242		
6-2-2.md	6.2.2	typed	typed	prose	typed	242-246		
6-3.md	6.3	typed	typed	prose	typed	247-254		
6-3-1.md	6.3.1	typed	typed	prose	typed	254-256		
6-4.md	6.4	typed	typed	prose	typed	256-261		
6-4-1.md	6.4.1	typed	typed	prose	typed	261-269		
6-5.md	6.5	typed	typed	prose	typed	269-271		
6-5-1.md	6.5.1	typed	typed	prose	typed	271-273		
6-5-2.md	6.5.2	typed	typed	prose	typed	273-274		
6-5-3.md	6.5.3	typed	typed	prose	typed	283-284		
a-0.md	A.0	typed	typed	prose	typed	293-443		
b-0.md	B.0	typed	typed	prose	typed	443-444		
b-1.md	B.1	typed	typed	prose	typed	444-458		
b-2.md	B.2	typed	typed	prose	typed	458-471		
c-0.md	C.0	typed	typed	prose	typed	471-475		
d-0.md	D.0	typed	typed	prose	typed	475-477		
d-1.md	D.1	typed	typed	prose	typed	477-478		
d-2.md	D.2	typed	typed	prose	typed	478-479		
d-3.md	D.3	typed	typed	publication catalog	typed	479-481		
d-4.md	D.4	typed	typed	prose	typed	481-482		
back_1.md	BACK_1	typed	typed	prose	typed	482-483		
back_1-1.md	BACK_1.1	typed	typed	prose	typed	483-486		
back_1-2.md	BACK_1.2	best-effort	best-effort		typed-lowering-declined	486-490		prose topic rejected: selector operands are not canonical
back_1-3.md	BACK_1.3	typed	typed	prose	typed	490-492		
glossary.md	GLOSSARY	typed	typed	prose	typed	492-539		
abbreviations.md	ABBREVIATIONS	typed	typed	prose	typed	539-545		
index.md	INDEX	typed	typed	generated navigation	typed	545-555		
back_2.md	BACK_2	typed	typed	prose	typed	555-557		
# summary	best-effort=6	typed=87	total=93
