file	id	severity	route	family	reason	records	degraded	detail
5-1-2.md	5.1.2	typed	typed	prose	typed	363-364		
5-1-3.md	5.1.3	typed	typed	prose	typed	367-368		
5-1-4.md	5.1.4	typed	typed	prose	typed	377-378		
5-1-5.md	5.1.5	typed	typed	prose	typed	382-384		
5-1-6.md	5.1.6	typed	typed	prose	typed	384-385		
5-1-7.md	5.1.7	typed	typed	prose	typed	388-389		
5-1-8.md	5.1.8	typed	typed	prose	typed	393-394		
5-1-9.md	5.1.9	typed	typed	prose	typed	397-398		
5-1-10.md	5.1.10	typed	typed	prose	typed	406-407		
5-1-11.md	5.1.11	typed	typed	prose	typed	415-416		
5-1-12.md	5.1.12	typed	typed	prose	typed	423-424		
5-2.md	5.2	typed	typed	prose	typed	424-425		
5-2-1.md	5.2.1	typed	typed	prose	typed	425-426		
5-2-2.md	5.2.2	typed	typed	prose	typed	426-427		
5-2-3.md	5.2.3	typed	typed	prose	typed	439-440		
5-2-4.md	5.2.4	typed	typed	prose	typed	440-441		
5-3.md	5.3	typed	typed	prose	typed	441-442		
5-3-1.md	5.3.1	typed	typed	prose	typed	442-443		
5-3-2.md	5.3.2	typed	typed	prose	typed	443-444		
5-3-3.md	5.3.3	typed	typed	prose	typed	451-452		
5-3-4.md	5.3.4	typed	typed	prose	typed	452-453		
5-4.md	5.4	typed	typed	prose	typed	453-454		
5-4-1.md	5.4.1	typed	typed	prose	typed	454-455		
5-4-2.md	5.4.2	typed	typed	prose	typed	455-456		
5-4-3.md	5.4.3	typed	typed	prose	typed	456-457		
5-4-4.md	5.4.4	typed	typed	prose	typed	457-458		
5-4-5.md	5.4.5	typed	typed	prose	typed	458-459		
5-5.md	5.5	typed	typed	prose	typed	459-460		
5-5-1.md	5.5.1	typed	typed	prose	typed	460-461		
5-5-2.md	5.5.2	typed	typed	prose	typed	461-463		
5-5-3.md	5.5.3	typed	typed	prose	typed	463-464		
6-0.md	6.0	typed	typed	prose	typed	464-465		
6-1.md	6.1	typed	typed	prose	typed	465-469		
6-1-14.md	6.1.14	typed	typed	prose	typed	494-496		
6-2.md	6.2	typed	typed	prose	typed	507-508		
