file	id	severity	route	family	reason	records	degraded	detail
6-3-1-9.md	6.3.1.9	typed	typed	prose	typed	339-340		
6-3-1-10.md	6.3.1.10	typed	typed	prose	typed	340-341		
6-3-1-11.md	6.3.1.11	typed	typed	prose	typed	341-342		
6-3-1-12.md	6.3.1.12	typed	typed	prose	typed	342-343		
6-3-1-13.md	6.3.1.13	typed	typed	prose	typed	343-344		
6-3-1-14.md	6.3.1.14	typed	typed	prose	typed	344-345		
6-3-1-15.md	6.3.1.15	typed	typed	prose	typed	345-346		
6-3-2.md	6.3.2	typed	typed	prose	typed	346-347		
7-0.md	7.0	typed	typed	prose	typed	347-348		
7-1.md	7.1	typed	typed	prose	typed	348-349		
7-1-1.md	7.1.1	typed	typed	prose	typed	349-353		
7-1-2.md	7.1.2	typed	typed	prose	typed	353-355		
7-1-3.md	7.1.3	typed	typed	prose	typed	355-356		
7-2.md	7.2	typed	typed	prose	typed	356-358		
8-0.md	8.0	typed	typed	prose	typed	358-359		
8-1.md	8.1	typed	typed	prose	typed	359-361		
8-2.md	8.2	typed	typed	prose	typed	361-362		
8-3.md	8.3	typed	typed	prose	typed	362-363		
8-4.md	8.4	typed	typed	prose	typed	363-364		
a-0.md	A.0	typed	typed	prose	typed	364-366		
glossary.md	GLOSSARY	typed	typed	glossary	typed	366-369		
index.md	INDEX	typed	typed	generated navigation	typed	369-372		
# summary	best-effort=2	typed=122	total=124
